id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
10529,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1462,4330,-17229,-190,166,-471,0,NULL,NULL,1677128579989,01370022,"2023-02-23,13:03:00",90
10530,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-787,3666,-14802,7,189,-360,0,NULL,NULL,1677128580115,01370022,"2023-02-23,13:03:00",90
10531,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-201,1638,-15228,-20,-41,-410,0,NULL,NULL,1677128580253,01370022,"2023-02-23,13:03:00",90
10532,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1286,3365,-14918,182,22,-529,0,NULL,NULL,1677128580368,01370022,"2023-02-23,13:03:00",90
10533,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1448,4499,-15591,121,36,-492,0,NULL,NULL,1677128580509,01370022,"2023-02-23,13:03:00",90
10534,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2125,3483,-16330,191,108,-483,0,NULL,NULL,1677128580622,01370022,"2023-02-23,13:03:01",90
10535,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1674,1147,-18994,263,-126,-251,0,NULL,NULL,1677128580756,01370022,"2023-02-23,13:03:01",90
10536,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1769,249,-17611,-25,-65,-619,0,NULL,NULL,1677128580884,01370022,"2023-02-23,13:03:01",90
10537,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,393,1474,-15394,72,105,-688,0,NULL,NULL,1677128581020,01370022,"2023-02-23,13:03:01",90
10538,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,846,2634,-15680,-146,0,-301,0,NULL,NULL,1677128581160,01370022,"2023-02-23,13:03:01",90
10539,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2049,3362,-17076,-135,75,-58,0,NULL,NULL,1677128581296,01370022,"2023-02-23,13:03:01",90
10540,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2147,4598,-20581,-74,-282,5,0,NULL,NULL,1677128581430,01370022,"2023-02-23,13:03:01",90
10541,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-13,3594,-13562,142,242,269,0,NULL,NULL,1677128581548,01370022,"2023-02-23,13:03:01",90
10542,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-265,2677,-14531,34,53,-83,0,NULL,NULL,1677128581672,01370022,"2023-02-23,13:03:02",90
10543,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1659,3210,-17516,176,-82,-376,0,NULL,NULL,1677128582039,01370022,"2023-02-23,13:03:02",90
10544,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1764,2155,-15537,56,-38,-189,0,NULL,NULL,1677128582174,01370022,"2023-02-23,13:03:02",90
10545,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1944,1419,-13247,139,74,-224,0,NULL,NULL,1677128582312,01370022,"2023-02-23,13:03:02",90
10546,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,411,2478,-15621,-72,-58,186,0,NULL,NULL,1677128582441,01370022,"2023-02-23,13:03:02",90
10547,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2680,1574,-15297,-110,73,360,0,NULL,NULL,1677128582584,01370022,"2023-02-23,13:03:03",90
10548,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3893,2148,-16517,-261,25,282,0,NULL,NULL,1677128582720,01370022,"2023-02-23,13:03:03",90
10549,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-4550,1697,-21559,3,-363,197,0,NULL,NULL,1677128582857,01370022,"2023-02-23,13:03:03",90
10550,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-125,2732,-13953,-36,43,207,0,NULL,NULL,1677128582971,01370022,"2023-02-23,13:03:03",90
10551,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1400,4460,-15545,58,-61,-199,0,NULL,NULL,1677128583103,01370022,"2023-02-23,13:03:03",90
10552,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,277,3063,-15174,116,3,-105,0,NULL,NULL,1677128583226,01370022,"2023-02-23,13:03:03",90
10553,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2908,5054,-14744,123,25,-310,0,NULL,NULL,1677128583370,01370022,"2023-02-23,13:03:03",90
10554,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,26,4613,-20945,51,-124,-271,0,NULL,NULL,1677128583504,01370022,"2023-02-23,13:03:03",90
10555,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-911,1353,-16236,103,231,-158,0,NULL,NULL,1677128583616,01370022,"2023-02-23,13:03:04",90
10556,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1305,179,-16217,105,34,-260,0,NULL,NULL,1677128583747,01370022,"2023-02-23,13:03:04",90
10557,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1463,1877,-13448,-73,40,-247,0,NULL,NULL,1677128583865,01370022,"2023-02-23,13:03:04",90
10558,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2904,1457,-14650,-33,145,99,0,NULL,NULL,1677128583995,01370022,"2023-02-23,13:03:04",90
10559,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2646,1817,-18339,-91,42,-48,0,NULL,NULL,1677128584135,01370022,"2023-02-23,13:03:04",90
10560,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-3003,5030,-20351,-241,-83,-198,0,NULL,NULL,1677128584275,01370022,"2023-02-23,13:03:04",90
10561,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-567,3063,-14631,92,-28,172,0,NULL,NULL,1677128584401,01370022,"2023-02-23,13:03:04",90
10562,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1828,2452,-13149,107,-140,41,0,NULL,NULL,1677128584519,01370022,"2023-02-23,13:03:04",90
10563,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2024,2760,-14542,154,-32,-120,0,NULL,NULL,1677128584641,01370022,"2023-02-23,13:03:05",90
10564,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2491,3714,-17275,116,171,-133,0,NULL,NULL,1677128584755,01370022,"2023-02-23,13:03:05",90
10565,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-986,1418,-21305,150,-60,-161,0,NULL,NULL,1677128584895,01370022,"2023-02-23,13:03:05",90
10566,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-690,876,-13783,68,366,-150,0,NULL,NULL,1677128585027,01370022,"2023-02-23,13:03:05",90
10567,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,796,2046,-14341,-206,57,-190,0,NULL,NULL,1677128585149,01370022,"2023-02-23,13:03:05",90
10568,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1725,1861,-14540,-87,23,-180,0,NULL,NULL,1677128585269,01370022,"2023-02-23,13:03:05",90
10569,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3340,2309,-16513,-181,31,-5,0,NULL,NULL,1677128585407,01370022,"2023-02-23,13:03:05",90
10570,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3094,4558,-18170,-177,82,-88,0,NULL,NULL,1677128585535,01370022,"2023-02-23,13:03:05",90
10571,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1224,2720,-12653,-28,11,512,0,NULL,NULL,1677128585665,01370022,"2023-02-23,13:03:06",90
10572,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1200,3384,-16125,25,-235,259,0,NULL,NULL,1677128585794,01370022,"2023-02-23,13:03:06",90
10573,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1167,3435,-14558,79,-106,240,0,NULL,NULL,1677128585907,01370022,"2023-02-23,13:03:06",90
10574,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2064,3935,-15721,125,-5,-52,0,NULL,NULL,1677128586045,01370022,"2023-02-23,13:03:06",90
10575,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1956,4062,-16618,77,88,-106,0,NULL,NULL,1677128586170,01370022,"2023-02-23,13:03:06",90
10576,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-679,1750,-19049,104,-4,-113,0,NULL,NULL,1677128586294,01370022,"2023-02-23,13:03:06",90
